CHANGE_ANALYST,CHANGE_NO,CHANGE_DESCRITPION,REASON_FOR_CHANGE,CCB_SUBMIT_DATE
Pooja Siraskar,M38743,"Inactive: MCO to Change MPN Lifecycle Status to “EOL_Notified"" and Technical Risk Reason to ""3 - EOL Notice from Supplier"" for below TE CONNECTIVITY LTD MPN's

    JPN          MPN
450-048317  2-6116353-8

PCN Document and Where used report is attached for reference.

PDC Action: PDC to update the Technical Risk Reason post CCB Approval, prior to MCO Release.","TE CONNECTIVITY LTD has submitted the EOL PCN for the below reason:
EOL the Parts due to no selling history for the past few years",38:03.0
Sherry Nguyen,DEV-24362A,"Prod: JNP-SPC3, Services Processing Card, SPC3: This Deviation is to instruct affected sites to follow the test screening instructions at both production and repair to identify DIMM failure related issues.

TEST Screening instructions for WIP/FG/Shipping/Repair (Refer attached Test screening instructions for error messages):
1. Prepare a chassis SRX5800 with RE3 and load SW 20.4R3-S1.3.
2. Insert all SPC3 into slot 1-10 if UUTs are available.
3. Make sure all spc3 are online (command => show chassis fpc).
4. Keep the system up for 1.5  to 2 hrs.
5. Login the system and change directory to /var/log/.
6. Grep errors as show from an example below. (command:  grep error messages*).
7. If the system can detect this error messages from example below, please tag it as DIMM failure and move UUT to debug area.

NOTE: 
For Repair team (CSU) - Please share a running list of all incoming failures for JNP-SPC3 which after debug/repair results in NTF, with TE Joseph Le (jle@juniper.net) and PQE Aiswarya Shanmugam (aiswaryas@juniper.net) for review, before declaring as NTF.

For Production (FJZ, FVN) - Please retest the units in WIP/FG and shipping as well, even if all the tests are already completed.","Reason for Extension(A): The SW fix for the test script update in production and repair is still under validation. New ""Effective To"" Date: 01/19/2025

Multiple customers reported memory errors with SPC3 when upgrading to latest Junos releases. 
ACE team is working on performing FA on the failed SPC3 cards and identified the root cause as defective DIMM memory. 
This deviation is required for both production and Repair to test all units with Junos 20.4 as the failure is detected only in newer version. Currently, Manufacturing and Repair uses older Junos image which does not detect this error.

NOTE: This deviation is extension of DEV-23415 as the SW need to be implemented at both Repair and production",57:19.0
Ranjith Soundarrajan,DEV-24284A,"Reason for extension: Since CM having a old PN in inventory. To utilize the OH qty extending deviation for another 3 months.


Prod: EX-Aberlour:This DEV is to allow CMY and EI Hubs to extend the Implementation date of ECO-58001 with old rev, at WIP/FGI/3PL..CMY had already implemented the CLAIM code change before the release of ECO-58001.  

Note: CHAS SKUs without “Claim Code label"" under the impacted items will be quarantined at all EI-hubs and sent back to partner for application of QR Claim Code.

All new build shall implement ECO-58001  with new rev.",CLAIM CODE restructuring to CHAS level (to align with DEV_ID level) per ECO-58001 has been implemented by CMY since mid Feb 2024.,09:30.0
Girija Amaragol,DEV-25197,"Prod/Proto: This DEV is to allow Flex Penang to use old date code part 210-035306 from NIC COMPONENTS to support immediate shortages. Enclosed the COC report. 

JPN: 210-035306
MPN: NTP107M10TRD(55)F
MFR: NIC COMPONENTS
Qty: 2000pcs
DC: 2236

No deviation label required.",This DEV is to allow Flex Penang to use old date code part to support production build.,26:24.0
Sherry Nguyen,DEV-25264,"Prod: 740-148505, Assy, Pwr Sply, DC, 2200W, 48/60V. While discussion is ongoing in Juniper performing additional qualification for the change, this deviation is to allow AcBel Polytech Inc-Taipei City to ship 287 reworked pilot power supply units to Flextronics Penang, Malaysia, to support the customer need.

***Issuing this new DEV-25264 as an extension of the previously released DEV-24824 which expired on December 25, 2024. Flextronics Malaysia has highlighted of having 9 remaining PSMs under DEV-24824 that needs to be consumed. See emails in the Attachment folder***

This is in completion of Purge-05623, FMY's RTV, supplier's rework/upgrade and Power Engineering test validation of the following change.

Resistor R40 change to 20K ohm and addition of 100pF C57 filter capacitor to stabilize the Vbe signal of Q7 mosfet.

Reports and other info. in the Attachments folder:
1. Revised FA/CA report, received on 8/23/24
2. Rework Instruction, received on 8/30/24
3. List of SNs for the 287 units, received on 9/3/24
4. AcBel PCN P1JUNIPER NETWORKS_2441368, received on 9/16/24.
5. Juniper Power Engineering test validation report, refer to Section 7.5 on the test results for 2.2KW.
6. Meeting minutes and email discussion in August, related to issuing this DEV for the reworked Pilot units.

Reworked/upgraded Pilot PSUs will keep the same CLEI code no., JPN & MPN Rev. nos. and JNPR model/rev no. for a total of 287 units.

DEV-24824 label applied to the reworked/upgraded units for traceability.",This new DEV-25264 acts as an extension of DEV-24824 that previously provides authorization to the supplier-AcBel to ship the reworked Pilot power supplies to Flextronics Malaysia. ECO-60955 has been issued and has already been released in Agile for the permanent change.,35:03.0
Sherry Nguyen,DEV-25103,"Prod: Add product barcode label p/n 520-016689 (1x) to the following 5 assemblies:

010252
010365
010374
010375
740-025995",BOM assemblies are not calling for any product p/n barcode label and to have a better traceability for the assemblies,37:16.0
Abel Alcantar,DEV-25293,"Proto: PTX-Octomore: 750-175154., Assy, Top, Teeling 800G OSFP, MezzA, 36 Ports, PTX-Octomore

Apply kepton tape on the GND stitch vias as per the attached instruction and make sure do not to place the tape on the busbar PCB PAD.

Build: P1C
Qty: 17 pcs.

- Affix the DEV-25293 label.
- Track the affected SNs.",Discovered busbar contact very close to the GND stitching Vias and it will cause potential short issues. This issue will be fixed in next etch.,11:07.0
Girija Amaragol,DEV-25208,"Inactive/Prod: This DEV is to instruct Accton to gang rework the high power loading locations with new TI part for rework verification and TZA sample

X-men ACX7100-32C * 3 units.

1. Rework:
-Replace CSD95490Q5MC/310-088617 with CSD96497Q5MC/ 310-174365

611-112469 ODM, Assy, PCA, Storm Main Board, ACX-X-Men

Rework locations:
U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U18
U73,U74,U76,U77,U78,U79
U42,U43,U50,U51,U52,U53
total: 24 high power loading locations

611-112446 ODM, Assy, PCA, CPU Board, ACX-X-Men

Rework locations: U33, U42.
Total: 2 high power loading locations

2. 3 rework units should go thru complete manufacturing test and provide test result to Juniper for review.
 
Note.
1. REFER to ECO-60443
2. Attached file for ACX7100-32C MB selective rework plan","Selective rework - High current devices
Rework the high power loading locations with new TI part based on RDT result.",13:55.0
Girija Amaragol,DEV-25257,"Prod: Mechanical Hard tool parts qualification. This DEVIATION is to instruct FMY to perform qualification on the following P/Ns and per the Affected Items:

A) PTX-Balerion: 760-180477: Hard tooled parts/assy by Interplex VN as multi-source

760-178440 - Assy, Sub, Rack Rail Front, RMK, 2RU, V2, QFX-Tomatin  
760-165350 - Assy, Sub, Chassis side U-Bracket, RMK, 2RU, PTX-Balerion  
760-178444 - Assy, Sub, Floating Rail, RMK, 2RU, V2, QFX-Tomatin

B) Qualification samples procurement info:

- Interplex VN has already built & sent the HT samples/assy to FMY for qualification
- FMY did the HT samples FFF Check

C) Qualification instructions to FMY:

1. Qualification to be done through standard incoming inspection process (In-process inspection & assembly check).
2. Items will go through standard production assembly process to evaluate form, fit and functional checks. In addition, cosmetics compliance as well.
3. Assemble the respective items according to Assy DWG & findings to be shared in FFF.
4. Compare the qualifications of new HT items wrt older HT items. Report all findings during the overall assembly process.
5. FMY to release the qualification build report (i.e. inspection and FFF results) after completing the build & same will be attached during MCO (Post DEV release).

Notes:
- No functional tests are required as this is a mechanical hard tooled parts qualification. Change will not impact mfg. test and the electrical function of the product.
- Qual was already completed & this deviation is just for record purpose. AVL update to be made in Agile thru MCO post DEV release.",This DEV will qualify the mechanical hard-tooled production solution parts from Interplex VN as part of VE qual.,20:07.0
Richard Hood,ECO-61365,"Prod: SKU's, 750 level assemblies, CTP: Update per the Affected Items Section.

1. BOM updates to remove 750's assy p/n as follows:
750-188047 from 010252.
750-188048 from 010365.
750-188049 from 010374.
750-188050 from 010375.

2. BOM updates to add below assemblies to the following 750's:
Add 010252 into 750-188047.
Add 010365 into 750-188048.
Add 010374 into 750-188049.
Add 010375 into 750-188050.

3. Add and remove the p/n's as follows:
a). For BOM's 750-056276, 750-161543, CTP2000-PWR-R:
- Add 750-188047.
- Remove 010252.
b). For BOM's 750-056277, 750-161541:
- Add 750-188047 and 750-188049.
- Remove 010252 and 010374.
c). For BOM's 750-056279 and 750-161539:
- Add 750-188047 and 750-188050.
- Remove 010252 and 010375.
d). For BOM's 750-056275, 750-161542, CTP2000-PWR-DC-R:
- Add 750-188048.
- Remove 010365.
e). For BOM's 750-056278 and 750-161540:
- Add 750-188048 and 750-188049.
- Remove 010365 and 010374.
f). For BOM's 750-056280 and 750-161538:
- Add 750-188048 and 750-188050.
- Remove 010365 and 010375.
g). For BOM CTP2024-ASSY-FANTRAY:
- Add 750-188049.
- Remove 010374.
h). For BOM CTP2056-ASSY-FANTRAY:
- Add 750-188050.
- Remove 010375.

4. Rev to Track the following SKU's:
CTP2008-AC-03, CTP2008-AC-04, CTP2008-DC-03, CTP2008-DC-04, CTP2024-AC-03, CTP2024-AC-04, CTP2024-DC-03, CTP2024-DC-04, CTP2056-AC-03, CTP2056-AC-04, CTP2056-DC-03, CTP2056-DC-04.",Correct BOM's which were not structured correctly at ECO-61260.,05:59.0
Ranjith Soundarrajan,ECO-61435,"Proto:QFX-Garnet: Release to ""prototype"" lifecycle as per the affected item sections.

-Release below SKU to ""prototype"" lifecycle as per the attached ""REDLINE_BOM_OSFP-4x200G-DAC.xls"".
OSFP-4x200G-D-1M
OSFP-4X200G-D-2M
QDD-4x200G-D-1M

releasing child items to proto lifecycle
720-185349 
720-185350
720-185351","Initial BOM structuring and releasing to ""prototype"" lifecycle of OSFP-4x200G-D-1M, OSFP-4X200G-D-2M and QDD-4x200G-D-1M cables",42:21.0
Richard Hood,ECO-61027,"Prod: Power Cord CG BOM changes: Update per the Affected Items Section.

1. Remove CG_CBL-C13-05 and add CG_CBL-C13-NG-01 with qty 1 for following BOM's:
EX2300-24MP
EX2300-24MP-TAA
EX2300-24P
EX2300-24T
EX2300-48MP
EX2300-48MP-TAA
EX2300-48P
EX2300-48T
EX2300-C-12P
EX2300-C-12T
EX3400-24P
EX3400-24T
EX3400-48T
EX3400-48T-AFI
EX4100-24T
EX4100-48T
EX4100-48T-AFI
EX4100-F-24P
EX4100-F-24T
EX4100-F-48T
EX4300-32F
EX4300-32F-TAA
EX4400-24T
EX4400-24T-AFI
EX4400-24X
EX4400-24X-AFI
EX4400-48F
EX4400-48F-AFI
EX4400-48T
EX4400-48T-AFI
LWC
NFX150-S1
NFX150-S1E
NFX250-LS1
NFX250-S1
NFX250-S1E
NFX250-S2
NFX350-S1-AC
NFX350-S2-AC
NFX350-S3-AC
SRX4300-AC
SRX4300-AC-LT

2. Move CG_CBL-C13-05 to ""Inactive"".",Consolidate multiple CG C13 BOM's to CG_CBL-C13-NG-01.,50:01.0
Ranjith Soundarrajan,M38564,"prelim/proto/production/inactivate: Remove DOF-EITAIWANFGI from AVL for SKU's of the affected items tab (1165 SKU's).

PDC Note: Pease consider the MCOs which has added into ""Relationships"" tab. Since affected items are high, created multiple requests.",Need to remove DOF-EITAIWANFGI as approved source for AVL's of all SKU's of the affected items tab.,42:36.0
Pooja Siraskar,M38664,"Prod: MCO to Change new INNODISK CORPORATION MPN: DGM28-B56M71EW1QF-B553A lifecycle status to ""Active"" under JPN: 740-167430.","INNODISK submitted PCN (F2314-US) to update the firmware to A23411 for the following reasons:

1.Fix Smart ID 0xF8, 0xF9 Value/Threshold
2.Improve Security Erase Flow
3.Fix BADQ issue.

ACX-Gamora program qualified this new firmware A23411 as part of NPI qualification process. Refer PR#1789380 and HTR report (Gamora_RE_SSD_qualification.doc) for reference.

QFX-Tomatin program qualified this new firmware as part of 2nd source qualification via DEV-24187. Refer attached HTR report (HTR-4728_Tomatin.docx).

PDC Action: HTR report for QFX-Glenlivet will be added before MCO release.

PDC Action: PDC to update the Technical Risk Reason to 0 - Low Risk :No identified Technical Risks post CCB Approval, prior to MCO Release",28:31.0
Sherry Nguyen,M38765A,"***Revert back on 01/24/2025***

Closure of EOL Reactivation for CS EOS Returns

Restore from Inactive to Obsolete 
SKU(s)  	
EX4200-24F-DC
EX4550-32F-S
EX4550-EM-8XSFP
CFP-100GBASE-LR4
SIB-I-T4000
BT8A78UFM3
QFXC08-FANS
FAN-R-TXP-3D-LCC-S
SIB-I-T4000-S


Customer/ Partner 	Juniper CS
Quantity Requested 	4
Reason for Reactivation 	CS EOS Return
Requestor 	April Flaugher
Reason: 	Repair Location needs to move items to other locations 
PDC Action: 	Temporarily change material status from EOS to EOL (leave all dates intact) and revert back after CS confirms processing.",Closure of EOL Reactivation for CS EOS Returns,42:20.0
Girija Amaragol,M38697,"NOTE: DO NOT RELEASE MCO till ROB Fontaine gives approval to release
Add Rob F into CCB please

Prod: Product Name(s): MX-Bugatti: This mco is to update Claim Code FLAG as explained below:

Claim Code FLAG to be set to ""Yes""

Model Numbers
JNP304-CHAS
JNP304-CHAS-BB 

Set ""Claim Code FLAG"" flag to ""Yes"" in ""Product Number - Process Engineering"" section of Model cover pages.",Claim Code flag enablement on models for SAP data integrity checks.,49:45.0
Girija Amaragol,M38748,"Prod: This mco is to update Changing MPN Lifecycle Status to “EOL_Notified"" and Technical Risk Reason to ""3 - EOL Notice from Supplier"" for below AMPHENOL MPN's

    JPN          MPN
450-017728  AA622-02006

PCN Document and Where used report is attached for reference.

Note:
PDC will update upon approval before release this mco.","AMPHENOL has submitted the EOL PCN for the below reason:
Considering huge raw material MOQ and long LT, Airmax ""AA"" series can be no longer effectively be supported.",49:50.0
Sherry Nguyen,DEV-25291,"Proto : PTX-Octomore: 740-124639 DC-DC Conv, 40-60Vin, 10-15Vout, 60A, 98%EFF, Baseplate SMD version, 57.9 x 25 x 9.9 mm

Allow to use Old DC parts on octomore SIB PWR DC boards.

Affected assy: 711-176919

DC;2239,2237
Qty:248
MSL:3

Instructions:
If the units are in the dry pack and the HIC indicator card is fine, FMY should be able to use the products without further testing.
If the HIC shows moisture, it's recommended to bake them according to JEDEC before using. Instructions are also on the HIC card, please follow that.

Special Instructions:
- Affix the DEV-25291label on the board
- Track the SN & usage details",Due to part shortage,35:13.0
Girija Amaragol,DEV-25310,"Prod: JPN 760-181964 and 760-165373 Mechanical qualification of 2nd source parts from MD-Penang. This Deviation is to instruct Flex Penang (FMY) and MD-Penang to perform the following:

Instructions for MD-Penang:

1. Produce and Ship total of 10 samples of the 760-181964 and 760-165373  to:  Flex Penang
2. Mark/label the samples with ""DEV-25310"".
3. Produce the FAI reports for the parts and assemblies.
4. Send copies of the FAI reports to Billy Wu (billy@juniper.net) and Nestlin Sudhakaran nsudhakaran@juniper.net.
5. Send copies of the RoHS/REACH documents to Billy Wu (billy@juniper.net) and Nestlin Sudhakaran nsudhakaran@juniper.net.

Instructions for Flex Penang (FMY):
1. FMY to receive parts, to undergo through normal incoming inspection process.
2. Prepare the materials for inspection and assembly check. Use the parts through the normal production assembly process, observe fitment and check for cosmetics.
3. Report and raise any findings found during the assembly process and with the rest of the other parts in the 750-assemblies.
4. Report the overall result of the installation of 540- qualification into their 750- assemblies.
5. When available, include comparing the qualification samples to the existing parts made by the current approved supplier.
6. FMY to release the qualification build report (i.e. inspection and FFF results, supported with photos) after completing the build.
7. FMY can using this qualification part to fulfill end customer requirement base on Juniper's approval.",Due to China +1 strategy . We need MD Xiamen to move production out of China for these two parts to MD Penang .Using this Deviation to qualify the part from MD Penang,03:18.0
Richard Hood,DEV-24983,"Programmable update of following devices on Ardmore:
BIOS v34.04: 560-181952
Boot CPLD v1.6: 560-186728
Port CPLD v17h: 560-117624

Files are copied to FMY server at /nfs/home/flex/Ardbeg/ECO-60896
Remote upgrade steps:
Copy the prog files to /var/tmp/ of the router.

A. BIOS
1. Copy CBSKD_U_ADB1.efi to /boot/efi/UpdateCapsule/
2. Run """"OsIndicate.sh -s FILE_CAPSULE_DELIVERY"""" from root prompt.
3. Reboot

B. Boot CPLD
root@ re0:/var/tmp# boot-fpga -P 560-186728_ardbeg_boot_cpld_v16.jed

C. Port CPLD
1. Copy the CPLD image file (560-117624_Ardbeg_Port_CPLD_REV_17.svf file) to /etc/sysconfig/jtag-test/ of the router 
Issue the below command at root prompt
2. root@re0:~# jtag-test
3. root@re0:~# jtag-test -Fui -d0
4. root@re0:~# lattice-isp /etc/sysconfig/jtag-test/560-117624_Ardbeg_Port_CPLD_REV_17.svf

After upgrading both boot CPLD and port CPLD, power cycle the system.","A. The latest BIOS for Skylake, V34, supports:
     1. Intel recommended security, booting, Capsule update, and recovery changes. New Bios fixed the Primary BIOS corruption issue during the in-system upgrade.
     2. Fixes the issue (JTAC Case 2023-1025-795667), where the CPU to BT2 link came up in x1 mode instead of x2 mode after a SW upgrade.
B. Port CPLD Upgrades – To support Remote power cycling Feature Enhancement.
C. Boot CPLD Upgrade – To support logout-on-disconnect knob for console.",15:38.0
Girija Amaragol,M38740,"Prod: MCO for Lifecycle change from ""COMP_IPQ "" to ""Active"" for the MPN mentioned below

450-018170 =>TE Connectivity =>1625854-1

Qual at Foxconn Vietnam is successful.
Ref Dev# DEV-23330
qual report is added in the MCO attachment
 submitted for Compliance Update

Note to PDC Team: Please make the redlining for Active move

Note to RoHS CE Review Group: Z2 ticket 14813 for compliance field update",Helpful Hints: Identify and describe the main reason why an MCO/Purge is necessary.,12:27.0
